Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Unable to access services for my child;Acesssing service ;Accessing/utilizing services/social supports;Accessing services and supports;Accessing services and supports;;;;;;;
Working, parenting and teaching all at the same time.;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;Juggling multiple roles;;;;;;;
Little physical support.;lack of support ;Accessing/utilizing services/social supports;Accessing services and supports;Accessing services and supports;;;;;;;
Online learning. It's too much and too hard.;Experiencing difficulites on virtual learning;School;Schooling ;Schooling;;;;;;;
Trying to work full time, cook and clean, teach my daughter and entertain my 4yo at the same time. It's actually impossible and makes me feel like a failure.;"Juggling multiple roles; feeling overwhelmed/exhauted in parenting ";"Juggling multiple roles; parenting exhaustion; emotions";Juggling multiple roles;"Juggling multiple roles; Parenting exhaustion";;;;;;;
Isolation.;Isolation;Isolation;Isolation;Isolation;;;;;;;
Kids fight more, less energy to keep up with them, little to no private time, helping with homework, and keeping them occupied all day with different activities.;"Juggling multiple roles; feeling overwhelmed/exhauted in parenting ";"Juggling multiple roles; Kid's behaviors; parenting exhaustion";"Juggling multiple roles; no alone time; Children's behavior ";"Juggling multiple roles; Lack of alone time; Children's Behavior ";;;;;;;
Not being able to leave. Having to still work from home instead of doing fun activities with the kids M-F;"Balancing work and parenting; isolation";"Isolation; Juggling multiple roles";"Isolation; Balancing work and parenting ";"Isolation; Balancing work and parenting ";;;;;;;
Being at home allllll the time. The weather hasn’t been too great to get outside either;Isolation/confinement ;Isolation;Isolation;Isolation;;;;;;;
Leaving my children home alone while I go to work. They are doing electronics more than normal, which I do not like.;"Childcare; excessive media time ";"Kid's behaviors; Accessing/utilizing services/social supports";"Excessive screentime; accessing services and support";"Accessing services and supports; Excessive Screentime";;;;;;;
Can't go anywhere with them. My youngest son has a disability so our therapy services have been changed to telehealth which is helpful but not as effective.;accessing special helath care support and social support ;"Isolation; Accessing/utilizing services/social supports";"Accessing services and supports; isolation";"Accessing services and supports; Isolation";;;;;;;
Lack of support;lack of support ;Accessing/utilizing services/social supports;Accessing services and supports;Accessing services and supports;;;;;;;
Home schooling while working full time and wanting to enjoy the finally decent weather;"Balancing work and parenting; home schooling challenges";Juggling multiple roles;Balancing work and parenting;Balancing work and schooling;;;;;;;
Financial stress;Financial challenges;Finances; Financial and resources concerns ; Financial and resources concerns ;;;;;;;
Trying to work with both kids home;Balancing work and parenting ;Juggling multiple roles;Balancing work and parenting ;Balancing work and parenting ;;;;;;;
Being expected to work full-time from home, teach, care for the kids, etc. It's impossible!;"Balancing work and parenting; juggling multiple roles ";Juggling multiple roles;"Juggling multiple roles; Balancing work and parenting";"Juggling multiple roles; Balancing work and parenting";;;;;;;
