Reward Question Data;Codes;;;
More interaction and personal bonding;"Quality Time; closeness";;;
More time together bc we are less busy.;"Quality Time; More Time";;;
More family time...forced to slow down.;"quality time; slowing down";;;
Spending extra time together as a family;quality time;;;
I love having the time to be with my kids and explore nature. We made a seed journal and watched seeds grow, we go hiking, and cook together.;"Quality time; shared activities; being outside";;;
The extra time I got to spend with my young child, watching him grow and develop. Unlike when he is at daycare and I am at work.;"quality time; more involved in growth/development";;;
More time together, getting to help my son with ADHD really understand his work, having a more laid back atmosphere because we have no schedule and extracurricular activities, and connecting more with my husband who typically has to travel for work. He’s been banned from traveling so I have a permanent partner and lots of help with the kids.;"quality time; involvement in children's education; more time; partner relationship; division of labor; flexibility; more time";;;
Always being with my kids without distractions of friends.;quality time;;;
Watching my kids play together;sibling relationship;;;
Homeschooling and knowing more of what is going on in their education. Spending more quality time with my children.;"Involvement in children's education; quality time";;;
Children are a great distraction! And a reminder to think outside of yourself. And they're a reminder to model good behavior. They notice how you react and respond to challenging situations such as this.;Parenting competence, teaching opportunity;;;
More time to spend together and closeness;"quality time; closeness";;;
Slowing down and birthday parades;"slowing down; new activities";;;
The extra quality time;quality time;;;
Less rushing, eating 3 meals a day together, and helping my 9 year old (my eldest) start to understand bigger issues than in the past;"more time; quality time; shared meals; teaching opportunity";;;
More family time!;quality time ;;;
We are thankful that we can be home with our baby, so we get to enjoy him and our family more.;quality time;;;
Watching them learn new skills and concepts.;involved in growth and development ;;;
Spending more time together with family. Being less stressed by all the places to go or things to do;"quality time; less stressed; more time";;;
That we can be together;quality time;;;
Being together;quality time;;;
I have newfound patience and gratefulness for the every day life we had before. I will be sure to teach my children not to take things for granted. When I am scared and feeling helpless, I have looked to them to keep going. I have improved my health (diet and exercise, quit smoking) since this all started. I think I am going to come out a better mom and person because of it.;"Patience; gratitude; teaching opportunity; self-improvement; parenting competence";;;
Spending time with the kids I wouldn’t normally get.;quality time;;;
Lots of kid time. Family meals every night. Getting to participate in iij ntensive 1 on 1 schooling of my kid.;"quality time; shared meals ; involvement in children's education";;;
Spending more time together and being part of his learning, enjoying seeing him in the educational environment;"quality time; involvement in children's education";;;
I get to spend a lot more time with him. Before the pandemic was was sad I was only able to spend one week day with him during his spring break. Now I get to spend over 2 months with him. We have started mutual hobbies and games together.;"quality time; new activities";;;
Seeing how much my boys love me.;parent-child relationship;;;
Being able to spend more time with our kids and do things we usually don't have time to do such as hiking.;"quality time; being outside";;;
Knowing that I have control over what they are learning, that they are learning different, unique skills and experiences than if they were at school.;"Control over learning; teaching opportunity; involvment in children's education";;;
Spending all of her waking hours together! Seeing all the little changes she makes every day, which we might miss when she’s at daycare.;"quality time; involved in growth/development";;;
;N/A;;;
Courage in the face of difficulties and solutions to problems;resilience;;;
Spending more QT with them and getting to know each other more.  I've taught them how to cook, do artsy stuff, brought out the Rockband game and played songs as a family, exercise as a family, and reinforce what they are learning via online school throughout the day/week.;"quality time; learning opportunity; parent-child relationship; teaching opportunity; new activities; being involved in education";;;
More snuggles, more time together because of no commute;"affection; more time";;;
Being able to keep them healthy and safe at home. Quality time that we have together as a family’s given these circumstances.;"parenting competence; quality time";;;
It's great talking walks every day, spending more time playing board games and cooking, and learning together.;"quality time; being outside; learning opportunity";;;
Family time.;quality time;;;
Closeness and time together.;"closeness; quality time";;;
All the time!;more time;;;
Extra time spent with him.;quality time;;;
Making memories we will all remember always. Getting more time with them than we will ever have again.;"creating memories; quality time";;;
Great bonding time!;quality time;;;
Slowing down and spending more time during the day with my partner and oldest child who is home during the day.;"slowing down; quality time";;;
Playing outside in my yard with my son;"quality time; being outside";;;
Being home to watch them grow more;being involved in growth/dev;;;
Seeing my kids learn.;involved in education;;;
Time spent together, new memories created, new rituals;"quality time; creating memories; new rituals/routines";;;
Closer with kids;closeness;;;
Lots of together time;quality time;;;
Having the opportunity to see my children every day during their day and also being able to help my wife when she needs it.;"quality time; division of labor";;;
Watching my kids interact and having dad home all the time to see the same.;"sibling relationship; father-child relationship";;;
Time to slow down;slowing down;;;
More time with my kids, most days off in almost 20 years.;"quality time; more time ";;;
Being home together, feeling safe and secure,  watching my daughter mature in her personality;"quality time; feeling safe; being involved in child's growth/dev";;;
Understanding why we need to be safe and lots of social emotional support;learning opportunity;;;
Realizing that children don't need as many activities as we think they do. Kids are generally happy to play with you at home.;learning opportunity;;;
Just spending more time with my kids. Being there for their meals and seeing their interactions with each other, because they are spending so much more time together.;"quality time; sibling relationship; shared meals";;;
I get to see my child grow day to day and become a real person. I was missing so much of this when they were going to daycare full time.;involved in child's growth/development;;;
Finding out we as a family are Handling this well;family resilience;;;
Spending time with them;quality time;;;
Having my husband and children home and all of us together so much more;quality time;;;
Being able to watch my oldest figure out the school stuff. When he is at school you dont get to see that.;being involved in child's education;;;
Watching them learn and grow and being the center of their universe.;"being involved in child's growth/development; parent-child relationship";;;
Showing appreciation through baking / teaching aspects that were previously met to myself.;"gratitude; self-improvement/personal development";;;
;N/A;;;
Spending time outdoors with the kids as a family.;"quality time; being outside";;;
Just hanging out and having fun;quality time;;;
My two daughters are being forced to rely on each other and watching them be friendly towards one another has been rewarding.;sibling relationship;;;
The time together;quality time;;;
"When the children are happy and we can be together as a family without fighting 

Knowing I can get almost everything done that needs to get done between work, home school, watching 2 kids, taking care of the house (cook,clean)";"quality time; parenting competence; family resilience";;;
Nighttime snuggles;affection;;;
being with my kids all day everyday.;quality time;;;
