"participant_id","occasion_id","group","b_demo_age_1","b_demo_gender_1","b_demo_education_1","b_demo_work_1_rec","b_demo_kids_1_rec","b_corona_risk_1","app_group","b_igts_belief","b_igts_prefer","f_install","f_install_reason_1","f_install_other_1","f_app_risk","f_app_risk_other","f_bluetooth","f_install_reason_2","f_install_other_2","f_install_reason_3","f_install_other_3","f_advertisement","f_app_relevant_information","f_first_nonNA","f_fst_chng_2or3_to_1","f_ever_installed","f_app_risk_once","f_install_other_1_coded","f_install_other_1_coded_new","f_install_other_3_coded","f_install_other_3_coded_new"
1,81667,2,27,2,19,"Voll erwerbstätig",0,1,1,5.8,4.25,1,"2",NA,1,NA,2,"7","Nur eingeschaltet wenn ich auch das Haus verlasse oder andere treffe",NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
6,65624,1,49,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,3.8,2.75,1,"1, 2, 3, 4, 6","Ich wohne in einem gemeinschaftlichen Wohnprojekt und kann so ein kleines bisschen mehr Risiken von unserer Gemeinschaft fernhalten. ",2,NA,1,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,"2","D","",""
9,112536,1,49,1,16,"Voll erwerbstätig",0,2,2,5.6,6.25,2,NA,NA,NA,NA,NA,NA,NA,"2, 7",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
13,45197,2,53,2,22,"Voll erwerbstätig",1,2,1,4,4,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
16,84534,2,52,2,14,"Sonstiges",1,2,1,4.6,6.25,1,"3",NA,4,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
20,92748,1,68,2,20,"Nicht erwerbstätig",1,2,1,4.4,6,1,"2",NA,4,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
21,89874,2,65,2,23,"Sonstiges",1,2,1,5,4.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
22,80787,2,56,2,14,"Voll erwerbstätig",0,2,1,4.6,6.25,1,"4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
23,51662,2,35,2,18,"Voll erwerbstätig",0,2,1,4.2,2.75,1,"6","Meiner chronisch kranken Partnerin zuliebe",1,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,"2","D","",""
25,53408,2,29,2,18,"Nicht erwerbstätig",0,2,1,4.8,3.5,1,"2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
26,26857,1,82,2,18,"Sonstiges",1,1,1,3.6,2.5,1,"1, 2",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA
31,49291,1,25,2,19,"in Ausbildung",0,2,1,5.6,5.25,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
32,56469,1,32,2,18,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,2,1,5.4,5.5,1,"1, 2, 4",NA,2,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
34,11785,2,47,2,20,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",0,1,2,4.4,5.5,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,2,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
35,24475,1,58,1,23,"Voll erwerbstätig",1,2,1,6,5.5,1,"1, 2, 3, 4, 5",NA,5,"Risiko-Ermittlung nicht möglich",1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
36,100304,1,47,2,11,"Voll erwerbstätig",0,1,1,4.2,5,1,"1, 2",NA,1,NA,1,NA,NA,NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
37,90585,1,58,2,16,"Sonstiges",0,2,1,4.8,5.75,1,"1, 2, 4, 6","Fahre nächste Woche mit der Bahn nach Göttingen",5,"Noch keine Daten, da erst heute Abend installiert",3,NA,NA,NA,NA,1,TRUE,TRUE,FALSE,TRUE,FALSE,"10","D","",""
40,29612,2,63,1,NA,"Teilzeitbeschäftigt (auch bei parallelen Teilzeittätigkeiten)",1,2,1,4,5.25,1,"1, 2",NA,2,NA,2,"7","hatte das Handy nicht immer dabei",NA,NA,2,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA
