idx,ID,"How has the quarantine/social distancing affected you? Describe in as much detail as possible."
0,145841,Not at all
1,633356,Taking it one day at a time and adapting well
2,825546,in a very big extent of my life
3,579471,It hasn't really affected me too much. I just have been staying home more often. I work from home more often as well now. I have not really gone out for much.
4,447925,"I'm at home 24/7 now, working only on Mturk."
5,321313,
6,722077,It hasn't affected me much other than following the guidelines how how to social distance.
7,422590,no
8,323399,"Not very much. I'm a University professor, so I've been teaching online from home. My partner was unemployed before, so she's just staying home, especially because she has chronic illnesses. We've been preparing a bit more, but otherwise, nothing really has changed."
9,233039,Not at all
10,150133,It hasn't changed my daily routine much. I still go for my daily run and I also still walk the dogs everyday. I also still play video games and eat food at the normal times.
11,655352,I feel that I am able to focus more on my work better. I am not around others as much now. I am able to find and do projects at home. I can just contact everyone online now too.
12,211568,none
13,265118,"Social distancing hasn't affected me that much, because I am an introvert and I work from home and socialize online with friends. It has made it more difficult when I need to go to the grocery store somewhat, but otherwise everything is mostly the same where I am."
14,991235,
15,648345,It has been a little weird being trapped in house and when I get off work I feel like I should be doing something else. It's odd getting off from work and instantly being at home. It makes me wish I could go somewhere and do something with the extra time. I am sick of Hulu and Netflix
16,280486,"I am able to work from home so it hasn't changed much with regards to work. With regards to hanging out with friends and going to restaurants, I am simply staying home. I've ordered takeout or cooked at home for roughly 1.5 weeks now. I am self quarantining."
17,394510,it has not affected me that much
18,136208,Stay home as much as possible
19,725679,"I currently am a college student at The University of Texas at Dallas, and all of our classes got moved online for the rest of the semester, which is huge for me. While this provides some benefits, I think the social aspect of just going to school was important to me. I'm unable to go out and hang out with my friends during this time, like going to a boba shop, or just dancing or playing music with my friends. It does get pretty lonely at times, and my depression has definitely gotten worse as a result."
20,812265,"I already work remotely from home, so this has not affected me a great deal. I'm not going out to dinner at all or grocery shopping as much and I am cooking far more at home."
21,709104,I am now remotely working and working less hours.
22,647983,I do not really go out anymore except to go to work and go to the grocery store. I am avoiding large crowds and being around other people but I still have to go to work everyday
23,823714,"The quarantine/social distancing has affected me by my having to work from home. My wife is also working from home. We stay inside our house most of the time, except when the weather is good, we take a neighborhood walk but we stay far away from other people. We wave from afar. We talk with our sons and parents on skype and via email. I communicate with coworkers with Zoom, Slack, and email. We feel confined but we are doing our part to keep ourselves and others safe."
24,425847,"I am working from home and home schooling my kids. If you think we complain about millenials, wait until these e-learning kids hit the workforce! We're screwed!"
25,920387,Not really much other than cancel some trips for hobbies that we had.
26,192146,I feel indifferent toward this.
27,386672,It's made me more nervous.
28,912787,"There's been negligible changes, since I already worked from home and basically left once a week to get groceries."
29,214585,"Have been working from home, we have many less projects going on. We have had cut hours. Have been sheltering in place as well, there are orders from our city to do that. I have been been eating worse, more junk food, more fast food. It has made me much more anxious overall."
30,624778,"Its not so much the social distancing that's affecting me, more of a 'trying to survive this economic collapse' that's causing me stress. Will I be able to afford my bills? Will I be able to buy the essentials I need?"
31,349902,The social distancing has not affected me whatsoever. I am an essential worker so I still have a full time job and am grateful for that. I still live my life the same.
32,752226,"I am definitely upset that I don't get to see some friends and family members like I am used to doing. I keep up with them via phone and social media and email. We are working together to get through this the best way possible, and we are making sure that we all share knowledge to help protect ourselves and each other."
33,105407,It really hasn't
34,230288,My work has just about stopped so my pay has gone down drastically.
35,464430,IT has not affected me....I am just waiting for it to be over it is an overreaction
