ResponseId,Condition,Group,Stereotype1,Stereotype2,Stereotype3,Stereotype4,Stereotype5,Stereotype6,Stereotype7,Stereotype8,Stereotype9,Stereotype10,VALENCE,Status,Liking,Stereotype1_code_r,Stereotype2_code_r,Stereotype3_code_r,Stereotype4_code_r,Stereotype5_code_r,Stereotype6_code_r,Stereotype7_code_r,Stereotype8_code_r,Stereotype9_code_r,Stereotype10_code_r,class_child,class_now,SES,AMERICAN_ID,WHITE_ID,percentage_1,central,representative,US,US_ID_1,US_ID_2,US_ID_3,US_ID_4,US_ID_5,US_ID_6,US_ID_7,US_ID_8,US_ID_9,US_ID_10,gender,gender2,age,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,race_ID_1,race_ID_2,race_ID_3,race_ID_4,race_ID_5,race_ID_6,race_ID_7,race_ID_8,State_child,State_now,self_redneck,self_hick,self_hillbilly,self_whitetrash,self_bluecollar,self_whitecollar,self_WASP,self_1percent,self_trustfund,self_coastalelite,group_others_1,group_others_2,group_others_3,group_others_4,group_others_5,group_others_6,group_others_7,group_others_8,group_others_9,group_others_10,race_ID_1r,race_ID_4r,race_ID_8r,Stereotype1_valence,Stereotype2_valence,Stereotype3_valence,Stereotype4_valence,Stereotype5_valence,Stereotype6_valence,Stereotype7_valence,Stereotype8_valence,Stereotype9_valence,Stereotype10_valence
R_2YlIw1OXOIcbtW9,1,6,Suit and tie,Desk,Workaholic, , , , , , , ,5.81,6,5,2,56,7, , , , , , , ,4,4,7,4.8,4.125,36,4,4,1,6,5,5,5,5,5,4,4,4,5,Female,0,26, , , , , ,1, , ,5,4,5,3,4,4,5,5,Chicago,New York, , , , , , , , , ,1, , ,1, , , , , , , ,3,5,3,6.43, ,5.19, , , , , , , 
R_331MUKYmb3wJ8VM,1,6,rich,snobby,stuck up,rude,impatient,soft,irritating,whiney,jerks,ignorant,2.62,8,3,41,1,1,42,56,47,56,47,42,30,2,3,5,2.8,1,60,1,1,1,1,1,1,7,7,4,4,1,1,1,male,1,35, , , , , ,1, , ,7,1,1,7,1,1,1,7,virginia,virginia,1, , , , , , , , , , ,1,1,1,1, , , , , ,1,1,1,4.71,2.43,2.43,2.05, ,2.67, ,2.67,2.05,1.95
R_11havpVRTebz8aE,1,6,Dominante,Rich,Hard working,Upper class,Elite,Rude,Arrogante,Smart,Elite,Snooty,4.414,5,6,37,41,7,41,37,42,1,20,37,1,2,3,7,6.5,2.125,60,2,4,1,7,6,6,7,7,7,7,5,6,7,Female,0,44, , , , , ,1, , ,6,2,1,7,5,3,2,7,Flordia,Florida, , , , ,1, , , , , ,1,1, , , , , , , , ,2,1,1,5,4.71,5.19,4.71,5,2.05,2.43,7.62,5,2.43
R_PUoRC2gZpJGqZTX,1,6,Rich,Snobby,Stuck-up,Smart,Unsympathetic,Arrogant,Hard-working,Unlikeable,Uninteresting,Boring,3.96888888888889,6,5,41,1,1,20,10,1,7,56,6,6,1,3,6,3.9,3,71,5,6,1,3,5,5,5,3,5,5,2,3,3,Male,1,18, , , , , ,1, , ,5,3,3,5,3,3,3,5,Florida,Florida, , , , , , , , , , , , , , , , , , , , ,3,3,3,4.71,2.43,2.43,7.62,3.67,2.43,5.19, ,3.62,3.62
R_2uQgJnfdgQm6C6J,1,6,Lying,Untrustworthy,Rich,Live in luxury,Their parents helped them get there,They own several vehicles,They don't have to worry about their future,They are smart,They don't know what it's like to struggle,Successful,4.307,7,3,52,52,41,28,38,28,38,20,38,7,4,4,5,2.4,1.875,85,7,5,1,2,2,1,2,1,2,1,5,2,6,Female,0,28, , , , , ,1, , ,6,1,2,7,3,3,2,7,Alaska,Washington, , , , ,1, , , , , , , , , ,1, , , , , ,2,1,1,1.57,1.57,4.71,4.71,4.33,4.71,4.33,7.62,4.33,5.19
R_CfPWqvoWb141kyd,1,6,Hard Working,Educated,Dress well,Professional,Middle Class,Smart,Communicates Well,Skilled,Rich,Driven,6.06333333333333,5,5,7,18,2,56,56,20,56,56,41,7,3,3,6,5.8,4.625,61,5,5,1,5,6,6,6,7,6,6,5,5,6,female,0,31, , , , , ,1, , ,3,5,4,4,6,5,5,5,Texas,TEXAS, , , , ,1, , , , , , , ,1,1, , , , , , ,5,4,3,5.19,7.24,6.43, , ,7.62, , ,4.71,5.19
R_2e85HmUlv3WIHiM,1,6,Greedy,Snobs,Rich,Entitled,Prejudiced,Uncaring,Narcicist,Republican,Stingy,Separate,2.73555555555556,7,3,14,1,41,12,30,10,44,34,56,13,2,2,4,4,3.375,75,6,2,1,4,5,4,3,2,6,4,3,5,4,Male,1,58, , , , , ,1, , ,5,3,5,3,3,4,2,6,PA,PA, , , , ,1, , , , , , , , , ,1, , , , , ,3,5,2,2.29,2.43,4.71,2.24,1.95,3.67,2.38,2.81, ,2.14
R_31bJWlo7YroK7pf,1,6,High-class,Educated,Well-dressed,Sedentary,Computer work,City,Formal,Withdrawn,Theoretical work,Business,5.34714285714286,7,5,37,18,2,22,17,28,56,56,56,17,2,3,3,3.5,3.25,75,3,5,1,4,3,2,6,5,5,4,2,2,2,Male,1,28, , , , , ,1, , ,6,4,5,6,3,4,2,4,Virginia,Texas, , , , , , , , , , , , , , , , , , , , ,2,2,4,5,7.24,6.43,3.57,5.24,4.71, , , ,5.24
R_1IQTO4LnlJqlQf0,1,6,Materialistic,Self-absorbed,Fake,Shallow,Greedy,Unsympathetic,Hierarchical,Arrogant,Pampered,Classist,2.8,7,4,29,44,52,56,14,10,37,1,47,30,3,3,6,5.7,3.75,90,5,4,1,6,6,6,6,6,6,6,5,5,5,Male,1,35, , , , , ,1, , ,4,4,5,4,3,2,4,4,California,California, , , , ,1, , , , , , , , , ,1, , , , , ,4,4,4,3.24,2.38,1.57, ,2.29,3.67,5,2.43,2.67,1.95
R_2s6GvFuzWaMMEOy,1,6,wealthy,powerful,distant,elitist,philanthropic,intelligent,involved,calculating,movers and shakers,leaders,5.065,7,5,41,37,10,13,9,20,56,56,37,37,2,3,6,6.8,3.375,70,4,3,1,7,7,7,7,7,6,7,6,7,7,female,0,61, , , , , ,1, , ,5,3,2,5,3,6,4,5,Florida,Florida, , , , ,1, , , , , , , , , , , , , , , ,3,3,3,4.71,5,3.67,2.14,7.38,7.62, , ,5,5
